Det,etie_nomtienda_0,ID pedido,Sum_Cant piezas,Fecha de entrega,Estatus,Venta Neta,Fin de captura
2735,LA CRUZ,27854004,60,9/10/2019 17:00,7,1729.216957,9/10/2019 13:21
2689,FELIX CUEVAS,27854005,88,9/10/2019 20:00,7,2119.726957,9/10/2019 13:21
5749,PLAZA DE TOROS,27854036,10,9/10/2019 16:00,7,410,9/10/2019 13:24
2053,BLVD COLOSIO,27854037,1,9/10/2019 14:00,7,17.37695652,9/10/2019 13:24
3511,PORTAL TLALNEPANTLA,27854038,5,9/10/2019 16:00,7,101.5569565,9/10/2019 13:24
2379,CULIACAN,27854040,1,9/10/2019 15:00,7,56.9,9/10/2019 13:24
5469,RIO DE LOS REMEDIOS,27854041,2,9/10/2019 16:00,7,200.5669565,9/10/2019 13:26
4157,PERIFERICO CUAUTITLAN,27854043,5,9/10/2019 16:00,7,241.9269565,9/10/2019 13:25
2839,XALAPA SUR,27854044,13,9/10/2019 16:00,7,382.5069565,9/10/2019 13:24
1770,PATIO SANTA FE,27854045,21,9/10/2019 19:00,7,1293.16,9/10/2019 13:25
2033,PLAZA ORIENTE,27854046,19,9/10/2019 16:00,7,1179.866957,9/10/2019 13:24
2284,COFRADIAS,27854047,47,9/10/2019 16:00,7,1640.666957,9/10/2019 13:23
2079,CD. JARDIN,27854048,28,9/10/2019 19:00,7,1122.946957,9/10/2019 13:23
1032,LOMAS VERDES,27854049,26,9/10/2019 17:00,7,1193.666957,9/10/2019 13:23
4628,LAS ANTENAS,27854050,28,9/10/2019 17:00,7,892.6369565,9/10/2019 13:24
3878,NINO OBRERO,27854052,41,9/10/2019 17:00,7,1470.446957,9/10/2019 13:24
3533,Parque Guadiana,27854053,2,9/10/2019 17:00,7,1076.65,9/10/2019 13:28
4154,PERINORTE,27854054,4,9/10/2019 17:00,7,237.1069565,9/10/2019 13:26
3845,UNIVERSIDAD,27854055,8,9/10/2019 16:00,7,191.0469565,9/10/2019 13:28
2380,CD OBREGON,27854056,19,9/10/2019 16:00,7,1966.24,9/10/2019 13:26
3886,LAS ANIMAS,27854057,18,9/10/2019 16:00,7,406.0369565,9/10/2019 13:26
2382,INTERLOMAS,27854058,19,9/10/2019 16:00,7,626.7969565,9/10/2019 13:26
2989,VALLE REAL,27854059,15,9/10/2019 16:00,7,403.6069565,9/10/2019 13:29
1003,PLAYA DEL CARMEN,27854060,21,9/10/2019 20:00,7,866.6969565,9/10/2019 13:29
2670,TLALPAN,27854061,43,9/10/2019 18:00,7,991.5069565,9/10/2019 13:28
3851,AEROPUERTO,27854062,56,9/10/2019 16:00,7,805.8369565,9/10/2019 13:28
3872,BALBUENA,27854063,54,9/10/2019 17:00,7,1698.336957,9/10/2019 13:26
2644,PATIO TLALPAN,27854064,82,9/10/2019 19:00,7,2904.686957,9/10/2019 13:26
3586,5 DE FEBRERO NORTE,27854090,1,9/10/2019 16:00,7,37.93,9/10/2019 13:31
3850,ECHEGARAY,27854091,1,9/10/2019 19:00,7,29.9,9/10/2019 13:31
2380,CD OBREGON,27854092,11,9/10/2019 16:00,7,1211.47,9/10/2019 13:30
3030,BLVD. MORELOS,27854093,6,9/10/2019 15:00,7,136.7769565,9/10/2019 13:31
2342,VALLARTA,27854094,4,9/10/2019 16:00,7,260.2869565,9/10/2019 13:31
3554,MIL CUMBRES,27854095,34,9/10/2019 16:00,7,767.4469565,9/10/2019 13:30
3845,UNIVERSIDAD,27854096,13,9/10/2019 19:00,7,458.6269565,9/10/2019 13:30
2384,LABNA CANCUN I,27854097,20,9/10/2019 19:00,7,457.4769565,9/10/2019 13:30
2380,CD OBREGON,27854098,10,9/10/2019 17:00,7,473.2369565,9/10/2019 13:31
1083,BARRANCA DEL MUERTO,27854099,19,9/10/2019 16:00,7,485.8869565,9/10/2019 13:30
3554,MIL CUMBRES,27854100,7,9/10/2019 21:00,7,192.6469565,9/10/2019 13:31
3945,AVENIDA CENTRAL,27854101,27,9/10/2019 17:00,7,962.5269565,9/10/2019 13:31
2382,INTERLOMAS,27854102,45,9/10/2019 17:00,7,1818.426957,9/10/2019 13:29
2382,INTERLOMAS,27854103,62,9/10/2019 19:00,7,2701.386957,9/10/2019 13:31
2033,PLAZA ORIENTE,27854104,78,9/10/2019 17:00,7,2227.26,9/10/2019 13:29
3069,LOS CABOS,27854105,95,9/10/2019 16:00,7,2595.706957,9/10/2019 13:30
1027,SENDERO,27854106,26,9/10/2019 17:00,7,795.3069565,9/10/2019 13:33
1489,HIPERPLAZA TEXCOCO,27854107,2,9/10/2019 18:00,7,1205.18,9/10/2019 13:33
2446,AVERANDA,27854108,4,9/10/2019 17:00,7,342.8169565,9/10/2019 13:34
2349,ACAPULCO,27854109,2,9/10/2019 17:00,7,171.55,9/10/2019 13:34
3862,AZCAPOTZALCO,27854110,1,9/10/2019 18:00,7,143.96,9/10/2019 13:34
2347,TLAHUAC,27854112,3,9/10/2019 17:00,7,98.60695652,9/10/2019 13:34
3851,AEROPUERTO,27854113,14,9/10/2019 21:00,7,942.64,9/10/2019 13:33
2356,QUERETARO,27854114,16,9/10/2019 19:00,7,480.3469565,9/10/2019 13:33
2379,CULIACAN,27854115,28,9/10/2019 16:00,7,828.4369565,9/10/2019 13:34
4547,EDUARDO MOLINA,27854116,27,9/10/2019 16:00,7,1005.456957,9/10/2019 13:32
3845,UNIVERSIDAD,27854117,24,9/10/2019 17:00,7,853.9269565,9/10/2019 13:32
1083,BARRANCA DEL MUERTO,27854118,27,9/10/2019 17:00,7,1129.176957,9/10/2019 13:32
3858,CUAJIMALPA,27854120,35,9/10/2019 17:00,7,1209.406957,9/10/2019 13:34
2676,LA FE,27854121,35,9/10/2019 17:00,7,867.7769565,9/10/2019 13:34
4071,PATRIA,27854159,7,9/10/2019 17:00,7,175.7569565,9/10/2019 13:35
3877,TORRES DE LINDA VISTA,27854160,44,9/10/2019 17:00,7,840.9369565,9/10/2019 13:35
